JourneyID,CustomerID,ProductID,VisitDate,Stage,Action,Duration
98,95,8,2025-05-25,Homepage,Click,68.0
99,58,16,2024-07-06,Checkout,Purchase,87.0
100,92,10,2024-04-06,ProductPage,View,237.0
101,24,12,2024-04-14,Homepage,Click,37.0
102,33,16,2024-04-23,Homepage,View,165.0
103,7,11,2025-12-06,Checkout,Drop-off,35.5
104,51,18,2023-05-03,Homepage,Click,156.0
105,68,2,2023-11-19,Homepage,View,80.0
106,90,11,2024-10-03,productpage,View,96.0
107,76,19,2023-03-15,ProductPage,View,215.0
108,14,5,2023-03-06,ProductPage,View,245.0
109,65,7,2025-08-14,Checkout,Drop-off,16.5
110,20,18,2023-02-07,ProductPage,View,232.0
111,72,12,2023-06-11,homepage,View,264.0
112,30,12,2025-04-16,ProductPage,View,203.0
113,79,18,2025-12-15,Checkout,Drop-off,271.5
114,92,10,2023-06-26,ProductPage,View,38.0
115,38,14,2024-01-07,Homepage,View,297.0
116,27,1,2024-04-29,ProductPage,View,297.0
117,46,5,2025-12-14,ProductPage,View,103.0
118,26,14,2025-04-25,ProductPage,View,71.0
119,93,20,2025-03-13,Homepage,Click,172.0
120,37,17,2024-02-29,Checkout,Purchase,180.0
121,86,5,2025-10-17,homepage,Click,33.0
122,96,19,2025-10-22,ProductPage,Click,201.0
123,59,15,2024-04-10,Homepage,View,93.0
124,10,8,2024-07-27,ProductPage,View,262.0
125,67,19,2025-06-07,Checkout,Drop-off,185.33333333333334
126,39,4,2025-01-14,Homepage,Click,142.0
127,5,4,2023-12-11,Homepage,View,287.0
128,34,8,2023-07-03,Homepage,Click,13.0
129,91,20,2025-07-05,Homepage,Click,283.0
130,41,13,2024-09-07,Homepage,Click,73.0
131,98,13,2025-01-09,Homepage,View,15.0
132,68,14,2023-06-17,productpage,View,56.0
133,46,20,2024-06-20,Homepage,View,74.0
134,40,9,2023-12-14,Homepage,Click,34.0
135,52,20,2025-05-03,ProductPage,Click,168.0
136,77,2,2024-05-29,Homepage,View,129.0
137,40,6,2023-02-07,ProductPage,View,85.0
138,26,18,2025-05-11,ProductPage,View,172.0
139,24,5,2025-11-13,Homepage,View,248.0
140,11,12,2024-01-26,checkout,Drop-off,155.5
141,57,7,2024-07-01,ProductPage,View,15.0
142,53,14,2024-05-31,Homepage,Click,10.0
143,95,17,2025-03-13,Homepage,Click,262.0
144,95,12,2025-09-17,Homepage,Click,179.0
145,60,19,2025-10-21,Homepage,Click,62.0
146,86,1,2025-12-07,Homepage,View,208.0
147,86,18,2023-04-21,Homepage,View,294.0
148,15,3,2025-10-22,ProductPage,View,185.0
149,93,7,2024-05-27,ProductPage,View,18.0
150,58,16,2024-04-20,Homepage,Click,263.0
151,79,20,2023-11-04,checkout,Purchase,298.0
152,85,5,2024-07-02,Checkout,Drop-off,208.4
153,39,19,2025-09-19,homepage,Click,253.0
154,85,20,2023-08-04,Homepage,View,22.0
155,82,2,2023-05-12,Homepage,View,195.0
156,26,3,2024-10-18,checkout,Drop-off,
157,96,20,2025-09-10,Homepage,View,86.0
158,17,18,2025-11-19,Homepage,Click,97.0
159,36,7,2024-03-21,ProductPage,Click,160.0
160,83,12,2025-12-20,Checkout,Purchase,240.0
161,17,19,2025-01-15,ProductPage,View,50.0
162,52,10,2024-03-30,ProductPage,View,139.0
163,49,2,2024-02-20,Homepage,View,101.0
164,90,9,2025-10-19,Homepage,Click,226.0
165,93,15,2024-09-18,Homepage,Click,169.0
166,44,13,2024-09-27,Checkout,Purchase,141.0
167,8,4,2023-02-18,ProductPage,View,133.0
168,88,17,2023-04-03,ProductPage,View,274.0
169,40,19,2023-03-03,homepage,View,255.0
170,98,13,2025-10-20,ProductPage,View,33.0
171,29,2,2023-09-09,Homepage,Click,287.0
172,33,8,2023-10-30,ProductPage,Click,212.0
173,64,5,2024-08-28,ProductPage,Click,231.0
174,62,7,2024-12-12,Homepage,Click,299.0
175,82,16,2025-10-17,Checkout,Purchase,291.0
176,80,6,2023-05-12,Checkout,Drop-off,173.66666666666666
177,5,17,2024-03-06,ProductPage,View,237.0
178,93,10,2023-02-03,Homepage,View,100.0
179,99,5,2025-06-02,productpage,View,187.0
180,54,17,2024-11-26,Homepage,View,110.0
181,44,20,2025-05-19,Checkout,Drop-off,181.66666666666666
182,33,13,2025-04-22,ProductPage,View,248.0
183,54,16,2024-08-21,ProductPage,View,129.0
184,7,11,2024-09-30,ProductPage,View,250.0
185,27,6,2023-12-29,ProductPage,View,165.0
186,25,2,2024-01-04,ProductPage,View,287.0
187,51,14,2025-09-22,Checkout,Drop-off,202.0
188,94,2,2025-01-27,Homepage,View,21.0
189,57,8,2023-08-20,Checkout,Drop-off,145.5
190,90,18,2024-02-14,Homepage,View,257.0
191,40,10,2023-07-19,homepage,Click,100.0
192,82,3,2023-03-31,Checkout,Purchase,118.0
193,88,13,2025-09-22,Homepage,Click,121.0
194,13,11,2025-04-27,Homepage,View,54.0
195,8,4,2025-08-12,Homepage,Click,16.0
196,25,8,2025-08-23,ProductPage,Click,25.0
197,29,9,2024-10-07,ProductPage,Click,295.0
198,70,8,2025-12-23,Homepage,View,275.0
199,43,11,2024-02-02,ProductPage,View,17.0
200,83,18,2024-02-24,ProductPage,View,78.0
201,75,10,2025-04-25,Checkout,Drop-off,90.5
202,87,12,2023-04-22,ProductPage,View,145.0
203,44,11,2024-12-28,Homepage,View,230.0
204,99,20,2025-09-01,Homepage,Click,21.0
205,41,19,2023-03-03,homepage,View,282.0
206,39,5,2023-04-21,ProductPage,View,118.0
207,46,3,2023-02-02,Homepage,Click,224.0
208,43,4,2023-12-30,ProductPage,Drop-off,56.5
209,36,12,2025-10-08,ProductPage,View,246.0
210,63,7,2023-09-07,Checkout,Drop-off,190.5
211,54,9,2024-04-19,ProductPage,View,255.0
212,99,15,2025-03-03,Homepage,View,269.0
213,54,3,2025-03-07,ProductPage,View,145.0
214,33,9,2023-01-10,productpage,View,200.0
215,71,7,2024-06-08,Checkout,Drop-off,140.5
216,33,6,2023-01-05,Checkout,Drop-off,177.25
217,82,16,2023-08-26,Homepage,View,118.0
218,19,3,2025-05-04,Homepage,View,155.0
219,15,10,2024-12-29,Homepage,Click,280.0
220,43,5,2024-07-11,ProductPage,Click,235.0
221,52,12,2025-08-19,Homepage,View,213.0
222,66,15,2024-03-02,Homepage,View,227.0
223,53,1,2024-03-07,ProductPage,View,184.0
224,84,10,2025-03-21,Checkout,Drop-off,137.33333333333334
225,12,10,2023-11-27,ProductPage,View,163.0
226,72,20,2023-06-03,Homepage,Click,206.0
227,7,6,2024-05-01,productpage,Click,171.0
228,40,6,2023-01-15,Homepage,Click,174.0
229,16,17,2025-01-30,ProductPage,Drop-off,76.0
230,78,20,2025-11-13,ProductPage,View,176.0
231,61,12,2025-07-31,Homepage,View,206.0
232,81,2,2025-06-28,Checkout,Drop-off,84.5
233,92,15,2023-05-11,ProductPage,View,252.0
234,54,20,2025-02-02,ProductPage,View,191.0
235,33,7,2024-01-25,ProductPage,View,109.0
236,10,11,2025-07-27,Homepage,Click,209.0
237,29,4,2023-06-26,Homepage,Click,260.0
238,93,14,2025-08-29,Homepage,View,153.0
239,60,13,2024-04-28,Checkout,Drop-off,158.0
240,15,9,2023-09-16,Homepage,Click,103.0
241,63,18,2024-06-17,Checkout,Purchase,101.0
242,76,3,2023-01-31,Homepage,View,23.0
243,82,9,2024-04-20,Homepage,Click,255.0
244,3,5,2025-04-24,ProductPage,Click,187.0
245,69,20,2024-04-06,ProductPage,Click,283.0
246,90,4,2024-08-10,ProductPage,Click,154.0
247,26,9,2023-10-26,Homepage,View,97.0
248,35,20,2024-02-23,Homepage,Click,46.0
249,58,7,2023-07-21,Homepage,View,133.0
250,81,13,2025-10-12,ProductPage,View,209.0
251,13,6,2023-12-10,Homepage,View,102.0
252,87,19,2023-01-13,Homepage,View,208.0
253,71,11,2023-01-07,Homepage,Click,279.0
254,12,12,2025-02-09,Homepage,Click,255.0
255,95,9,2024-09-19,ProductPage,Click,239.0
256,32,8,2025-06-04,ProductPage,Click,59.0
257,30,20,2024-10-07,productpage,Click,163.0
258,34,5,2023-11-13,Homepage,View,146.0
259,92,14,2024-10-12,Homepage,Click,16.0
260,100,17,2025-07-15,Homepage,View,265.0
261,23,5,2025-10-07,Homepage,View,239.0
262,52,16,2023-10-07,ProductPage,View,53.0
263,94,8,2024-03-09,ProductPage,View,185.0
264,3,2,2024-09-05,ProductPage,View,222.0
265,99,16,2023-03-09,Homepage,Click,235.0
266,57,9,2024-02-11,Homepage,View,185.0
267,6,7,2025-04-17,Checkout,Drop-off,99.66666666666667
268,67,8,2025-02-02,Homepage,View,285.0
269,9,7,2025-11-14,homepage,Click,16.0
270,66,9,2023-06-22,Checkout,Purchase,296.0
271,20,4,2025-08-19,Checkout,Drop-off,111.66666666666667
272,17,10,2023-08-03,checkout,Drop-off,256.0
273,87,1,2025-03-22,Checkout,Drop-off,203.0
274,95,19,2023-09-28,checkout,Drop-off,183.25
275,88,13,2023-11-05,Checkout,Drop-off,209.66666666666666
276,27,19,2023-11-22,Checkout,Drop-off,179.0
277,63,12,2025-10-06,ProductPage,View,300.0
278,78,8,2024-01-07,ProductPage,View,125.0
279,97,1,2025-02-25,Checkout,Drop-off,104.0
280,69,15,2023-09-17,Homepage,Click,223.0
281,10,4,2025-01-06,Homepage,View,236.0
282,67,12,2024-07-10,Homepage,View,256.0
283,90,14,2025-01-05,productpage,View,106.0
284,88,7,2023-09-25,Homepage,Click,278.0
285,58,4,2024-06-11,Checkout,Purchase,269.0
286,51,19,2023-08-01,Homepage,View,243.0
287,100,13,2023-01-12,Checkout,Drop-off,149.71428571428572
288,6,1,2023-04-11,Homepage,Click,128.0
289,90,12,2025-08-15,Checkout,Purchase,148.0
290,49,20,2023-04-13,Checkout,Drop-off,276.0
291,32,6,2023-11-02,homepage,Click,264.0
292,39,15,2023-06-04,ProductPage,Click,201.0
293,18,19,2023-09-08,ProductPage,Click,77.0
294,41,5,2023-07-31,Homepage,Click,121.0
295,92,19,2023-03-28,Checkout,Purchase,220.0
296,50,4,2024-10-14,Checkout,Drop-off,146.0
297,74,4,2024-03-04,homepage,Click,163.0
298,84,10,2024-12-19,Checkout,Purchase,80.0
299,7,9,2025-10-27,Homepage,View,195.0
300,91,16,2023-09-20,Checkout,Drop-off,251.0
301,84,3,2023-01-15,ProductPage,View,148.0
302,14,10,2023-08-16,Checkout,Drop-off,
303,80,9,2024-05-24,Homepage,View,212.0
304,91,12,2023-05-06,ProductPage,View,43.0
305,74,20,2025-09-04,ProductPage,View,41.0
306,71,2,2023-07-14,Homepage,Click,179.0
307,85,11,2025-02-16,ProductPage,Click,209.0
308,80,12,2025-03-12,homepage,Click,178.0
309,38,11,2024-08-16,ProductPage,Click,176.0
310,73,18,2023-11-04,ProductPage,Click,216.0
311,33,19,2024-02-10,ProductPage,Click,67.0
312,9,11,2023-05-15,Checkout,Purchase,165.0
313,85,5,2023-10-07,ProductPage,View,140.0
314,75,11,2024-12-29,Homepage,View,297.0
315,21,6,2023-11-05,Homepage,Click,74.0
316,91,19,2025-11-12,homepage,Click,260.0
317,13,6,2023-03-22,Homepage,View,88.0
318,13,4,2025-02-01,Homepage,View,221.0
319,64,10,2025-07-17,Homepage,View,99.0
320,94,8,2025-11-29,Checkout,Drop-off,276.0
321,10,3,2024-11-24,Checkout,Drop-off,151.66666666666666
322,22,18,2024-05-25,ProductPage,View,18.0
323,44,19,2025-04-08,Homepage,View,254.0
324,77,9,2025-03-06,ProductPage,View,275.0
325,47,7,2023-01-31,Checkout,Drop-off,147.5
326,79,19,2024-11-30,Homepage,View,69.0
327,11,14,2024-04-29,Homepage,View,204.0
328,46,16,2024-12-22,ProductPage,View,52.0
329,88,15,2023-02-24,Homepage,Click,221.0
330,3,14,2024-04-11,Checkout,Purchase,249.0
331,2,8,2025-05-07,productpage,View,128.0
332,68,6,2025-02-26,Homepage,View,111.0
333,42,7,2024-05-15,Homepage,Click,217.0
334,43,18,2024-09-24,Homepage,Click,160.0
335,93,16,2024-09-22,ProductPage,Click,248.0
336,74,11,2025-03-08,Homepage,Click,237.0
337,71,1,2024-11-19,Homepage,Click,94.0
338,51,3,2024-06-18,ProductPage,Click,288.0
339,37,6,2024-11-07,ProductPage,Drop-off,145.33333333333334
340,63,20,2025-05-22,ProductPage,View,98.0
341,79,11,2025-02-12,Homepage,View,16.0
342,23,17,2024-06-19,ProductPage,View,109.0
343,50,12,2025-07-07,Checkout,Drop-off,299.0
344,77,1,2025-04-05,Homepage,View,14.0
345,27,6,2024-12-22,Checkout,Drop-off,81.0
346,68,11,2024-06-12,Homepage,Click,284.0
347,76,16,2024-06-23,ProductPage,Click,117.0
348,10,5,2025-01-27,Homepage,View,144.0
349,89,4,2023-12-15,ProductPage,View,193.0
350,99,18,2025-02-18,ProductPage,View,103.0
351,65,16,2023-06-19,Homepage,View,18.0
352,98,7,2025-09-01,ProductPage,View,165.0
353,19,10,2024-07-13,Homepage,View,60.0
354,34,3,2023-02-21,Homepage,Click,110.0
355,97,4,2025-02-18,Homepage,Click,22.0
356,65,18,2024-01-26,Homepage,View,234.0
357,11,13,2025-04-02,Homepage,View,174.0
358,62,11,2023-08-09,Homepage,Click,191.0
359,2,17,2024-03-16,Homepage,View,141.0
360,63,18,2023-08-28,Homepage,Click,270.0
361,96,9,2025-10-30,ProductPage,Drop-off,161.5
362,82,10,2023-05-29,Homepage,View,300.0
363,80,10,2023-04-07,ProductPage,View,123.0
364,48,16,2025-09-24,Homepage,View,30.0
365,6,5,2023-06-04,Checkout,Drop-off,150.625
366,37,2,2025-09-08,Checkout,Drop-off,105.8
367,61,18,2023-03-04,Homepage,View,272.0
368,26,10,2025-04-28,ProductPage,View,217.0
369,89,4,2023-03-22,ProductPage,View,192.0
370,15,15,2025-07-25,ProductPage,View,173.0
371,71,11,2023-09-28,ProductPage,View,227.0
372,76,16,2023-01-15,homepage,View,231.0
373,51,19,2024-04-09,Homepage,Click,219.0
374,67,13,2023-08-29,ProductPage,Click,114.0
375,23,2,2025-03-08,Checkout,Purchase,125.0
376,40,1,2025-05-23,productpage,View,216.0
377,86,10,2025-06-25,ProductPage,View,99.0
378,60,1,2023-11-02,ProductPage,View,124.0
379,92,15,2024-11-25,Checkout,Drop-off,194.66666666666666
380,1,11,2023-05-29,Checkout,Drop-off,198.0
381,2,3,2024-03-23,ProductPage,View,187.0
382,92,19,2025-06-05,ProductPage,View,260.0
383,55,6,2023-01-03,productpage,View,72.0
384,2,12,2024-09-24,Checkout,Drop-off,137.66666666666666
385,90,2,2025-04-15,ProductPage,View,189.0
386,37,6,2023-07-31,ProductPage,View,168.0
387,22,4,2024-12-19,Checkout,Drop-off,80.0
388,40,11,2024-12-02,Homepage,View,11.0
389,63,4,2023-04-14,ProductPage,View,276.0
390,74,7,2023-07-16,Checkout,Drop-off,164.4
391,74,13,2025-04-20,Checkout,Drop-off,184.0
392,50,13,2024-03-16,ProductPage,View,50.0
393,14,5,2024-05-26,ProductPage,View,120.0
394,39,5,2025-04-16,ProductPage,View,143.0
395,73,10,2025-08-19,Homepage,View,59.0
396,62,9,2023-03-14,ProductPage,View,238.0
397,54,15,2023-03-17,Homepage,Click,239.0
398,86,17,2025-03-04,Homepage,View,290.0
399,26,2,2025-08-03,ProductPage,View,108.0
400,28,12,2024-05-30,Homepage,View,45.0
401,86,20,2025-04-04,ProductPage,View,203.0
402,42,4,2024-11-24,Homepage,View,278.0
403,47,2,2023-03-21,ProductPage,View,112.0
404,30,13,2023-04-22,Homepage,View,112.0
405,97,7,2024-08-21,ProductPage,View,40.0
406,27,7,2025-05-09,ProductPage,View,107.0
407,79,6,2024-02-26,Homepage,Click,35.0
408,36,15,2024-01-31,Homepage,Click,182.0
409,90,17,2025-06-28,Homepage,Click,44.0
410,71,12,2023-09-13,Homepage,View,38.0
411,74,19,2023-02-08,Homepage,Click,231.0
412,3,20,2025-08-08,ProductPage,Click,74.0
413,29,5,2023-07-09,ProductPage,Click,235.0
414,24,15,2025-05-06,ProductPage,Drop-off,183.25
415,56,2,2023-10-26,Homepage,View,35.0
416,34,6,2025-09-24,ProductPage,View,151.0
417,50,12,2024-02-04,Homepage,View,205.0
418,97,8,2024-05-04,Checkout,Drop-off,72.5
419,52,7,2023-11-06,Checkout,Drop-off,159.25
420,25,16,2023-09-04,Homepage,Click,204.0
421,25,2,2023-10-22,ProductPage,Click,269.0
422,87,6,2024-10-04,Homepage,View,263.0
423,26,15,2023-06-12,Homepage,Click,121.0
424,94,10,2023-08-14,Checkout,Purchase,164.0
425,60,16,2024-11-21,Homepage,Click,287.0
426,60,20,2025-02-26,ProductPage,Click,158.0
427,98,2,2023-02-08,Homepage,View,262.0
428,48,12,2025-12-04,Homepage,View,242.0
429,100,15,2023-04-02,homepage,Click,97.0
430,7,20,2025-01-19,ProductPage,Click,63.0
431,66,12,2025-08-30,ProductPage,Click,229.0
432,73,3,2023-08-22,ProductPage,Click,27.0
433,20,18,2025-11-27,ProductPage,Click,205.0
434,46,4,2023-09-29,Homepage,View,94.0
435,45,8,2024-12-20,ProductPage,View,134.0
436,91,20,2024-05-15,ProductPage,View,206.0
437,43,14,2025-06-08,Homepage,Click,164.0
438,73,10,2024-11-10,Homepage,Click,45.0
439,87,12,2024-02-29,Homepage,View,252.0
440,2,7,2025-10-12,ProductPage,View,187.0
441,3,5,2023-05-23,ProductPage,View,51.0
442,74,13,2023-10-25,Homepage,View,164.0
443,98,5,2023-09-04,Checkout,Drop-off,126.5
444,76,18,2025-01-27,Homepage,Click,220.0
445,4,3,2025-05-09,ProductPage,Click,235.0
446,92,13,2024-04-04,Homepage,Click,108.0
447,64,11,2024-01-15,Checkout,Purchase,65.0
448,27,4,2023-09-30,ProductPage,View,279.0
449,15,8,2025-04-10,ProductPage,View,83.0
450,68,16,2023-11-02,ProductPage,View,20.0
451,17,14,2025-11-27,Homepage,View,142.0
452,86,4,2024-10-07,Checkout,Drop-off,195.4
453,49,17,2023-02-13,Homepage,View,188.0
454,93,3,2023-06-01,Homepage,View,268.0
455,79,10,2025-04-13,ProductPage,View,126.0
456,93,20,2023-09-09,Checkout,Drop-off,200.0
457,33,19,2023-09-29,Homepage,Click,71.0
458,94,2,2025-01-20,Checkout,Purchase,192.0
459,58,7,2024-10-12,Homepage,View,159.0
460,45,3,2023-02-17,Homepage,Click,96.0
461,19,5,2024-09-05,Checkout,Purchase,176.0
462,59,6,2025-04-14,ProductPage,View,199.0
463,32,17,2023-02-03,ProductPage,View,185.0
464,32,1,2023-10-10,ProductPage,View,153.0
465,27,1,2025-08-26,ProductPage,View,228.0
466,35,20,2025-07-29,ProductPage,View,200.0
467,32,3,2025-10-14,ProductPage,View,37.0
468,3,19,2025-06-25,Homepage,View,215.0
469,18,16,2025-11-27,ProductPage,View,33.0
470,76,16,2024-01-23,Homepage,Click,28.0
471,14,16,2024-02-01,ProductPage,Click,10.0
472,28,14,2025-03-09,ProductPage,Click,94.0
473,76,2,2025-03-21,ProductPage,Click,168.0
474,59,3,2023-03-24,ProductPage,Click,72.0
475,91,6,2025-02-13,Homepage,Click,90.0
476,80,4,2024-08-22,Homepage,Click,41.0
477,94,11,2025-04-10,ProductPage,Click,56.0
478,80,7,2025-08-27,productpage,Click,225.0
479,63,17,2023-01-17,ProductPage,Click,296.0
480,30,12,2025-10-23,Homepage,Click,29.0
481,43,7,2025-06-17,ProductPage,Click,261.0
482,72,4,2025-12-14,ProductPage,Click,126.0
483,86,17,2024-10-02,Homepage,View,153.0
484,98,7,2023-08-30,Homepage,Click,222.0
485,100,4,2023-03-05,ProductPage,Click,101.0
486,91,16,2023-06-17,Homepage,View,226.0
487,35,19,2023-05-07,Checkout,Drop-off,257.6666666666667
488,72,16,2023-08-21,Checkout,Drop-off,46.0
489,57,16,2024-03-23,Homepage,View,266.0
490,53,13,2025-03-28,ProductPage,View,108.0
491,77,19,2023-05-14,Checkout,Drop-off,211.0
492,69,20,2025-05-16,productpage,View,186.0
493,32,7,2024-04-23,Checkout,Drop-off,168.71428571428572
494,29,6,2024-10-27,Checkout,Drop-off,207.66666666666666
495,43,2,2023-02-04,Checkout,Drop-off,232.2
496,76,20,2024-12-08,homepage,Click,66.0
497,55,15,2024-05-18,Homepage,View,83.0
498,33,20,2024-09-21,Checkout,Drop-off,106.0
499,95,18,2024-01-24,ProductPage,View,112.0
500,29,8,2025-07-31,Homepage,Click,277.0
501,57,17,2023-10-19,Homepage,View,14.0
502,10,3,2023-08-19,ProductPage,View,134.0
503,35,9,2023-02-18,homepage,Click,239.0
504,4,13,2025-02-08,Homepage,Click,281.0
505,15,11,2023-02-16,Homepage,Click,167.0
506,100,17,2023-08-20,Homepage,View,69.0
507,90,17,2025-01-02,ProductPage,View,259.0
508,48,15,2024-09-13,ProductPage,View,64.0
509,42,16,2025-11-27,ProductPage,View,53.0
510,14,14,2023-12-21,Checkout,Drop-off,
511,65,3,2025-05-23,ProductPage,View,40.0
512,67,11,2025-11-04,Homepage,Click,229.0
513,91,17,2024-04-18,ProductPage,Click,195.0
514,24,3,2024-06-18,productpage,Click,38.0
515,49,3,2025-05-23,Homepage,View,231.0
516,14,15,2023-09-26,Checkout,Drop-off,138.25
517,55,10,2025-01-07,Homepage,View,19.0
518,89,12,2023-07-09,Homepage,View,56.0
519,99,1,2024-03-14,ProductPage,View,206.0
520,42,16,2025-07-13,Checkout,Drop-off,12.0
521,12,13,2024-03-25,Checkout,Drop-off,108.0
522,78,19,2023-06-15,Homepage,View,101.0
523,85,2,2025-10-08,Homepage,Click,240.0
524,34,13,2023-04-12,Homepage,View,65.0
525,34,10,2023-07-24,ProductPage,View,61.0
526,87,9,2025-05-17,Checkout,Drop-off,173.5
527,66,14,2025-06-20,ProductPage,View,33.0
528,38,6,2024-11-19,ProductPage,View,156.0
529,83,14,2025-09-20,ProductPage,View,173.0
530,76,8,2023-03-06,Homepage,View,159.0
531,20,3,2025-05-22,Homepage,Click,264.0
532,98,12,2023-06-11,ProductPage,Click,278.0
533,33,11,2023-01-29,Checkout,Purchase,84.0
534,59,7,2025-01-16,Homepage,Click,224.0
535,4,7,2025-03-31,Homepage,View,135.0
536,55,17,2025-06-30,ProductPage,View,272.0
537,52,6,2025-04-01,productpage,View,291.0
538,25,9,2024-04-11,Homepage,View,232.0
539,18,1,2023-02-27,productpage,View,139.0
540,28,6,2024-05-27,Homepage,Click,122.0
541,70,1,2023-11-12,Checkout,Purchase,194.0
542,43,2,2023-05-02,Homepage,View,16.0
543,7,7,2024-06-26,Checkout,Drop-off,199.6
544,58,3,2024-04-20,ProductPage,View,89.0
545,81,19,2024-02-24,Homepage,View,248.0
546,77,2,2025-03-21,Homepage,View,257.0
547,15,7,2023-05-24,ProductPage,View,13.0
548,84,17,2023-04-09,Homepage,View,254.0
